match_id,tournament,date,series,game_num,team1,team2,gol_url,youtube_url,offset_seconds
1,Mid-Season Invitational 2019,2019-05-19,FINALS,1,G2 Esports,Team Liquid,https://gol.gg/game/stats/17344/page-timeline/,https://youtube.com/watch?v=UdwiDAkrvFY,408
2,Mid-Season Invitational 2019,2019-05-19,FINALS,2,G2 Esports,Team Liquid,https://gol.gg/game/stats/17345/page-timeline/,https://youtube.com/watch?v=r29HP2QZx1o,337
3,Mid-Season Invitational 2019,2019-05-19,FINALS,3,G2 Esports,Team Liquid,https://gol.gg/game/stats/17346/page-timeline/,https://youtube.com/watch?v=37Y2qHiTzuE,341
4,Mid-Season Invitational 2019,2019-05-18,SF,1,G2 Esports,SKT,https://gol.gg/game/stats/17280/page-timeline/,https://youtube.com/watch?v=8WzilJ_58Js,349
5,Mid-Season Invitational 2019,2019-05-18,SF,2,G2 Esports,SKT,https://gol.gg/game/stats/17281/page-timeline/,https://youtube.com/watch?v=vpWSrD8s0BE,365
6,Mid-Season Invitational 2019,2019-05-18,SF,3,G2 Esports,SKT,https://gol.gg/game/stats/17282/page-timeline/,https://youtube.com/watch?v=kg1ygK-o6qo,262
7,Mid-Season Invitational 2019,2019-05-18,SF,4,G2 Esports,SKT,https://gol.gg/game/stats/17283/page-timeline/,https://youtube.com/watch?v=SxFtQx6wu-Y,292
8,Mid-Season Invitational 2019,2019-05-18,SF,5,G2 Esports,SKT,https://gol.gg/game/stats/17284/page-timeline/,https://youtube.com/watch?v=PRDEvPHluaE,283
9,Mid-Season Invitational 2019,2019-05-17,SF,1,Team Liquid,IG,https://gol.gg/game/stats/17275/page-timeline/,https://youtube.com/watch?v=rYidVg_M4j8,510
10,Mid-Season Invitational 2019,2019-05-17,SF,2,Team Liquid,IG,https://gol.gg/game/stats/17276/page-timeline/,https://youtube.com/watch?v=Iv8LKs2KpIA,89
11,Mid-Season Invitational 2019,2019-05-17,SF,3,Team Liquid,IG,https://gol.gg/game/stats/17277/page-timeline/,https://youtube.com/watch?v=sMfQ7hokuac,226
12,Mid-Season Invitational 2019,2019-05-17,SF,4,Team Liquid,IG,https://gol.gg/game/stats/17278/page-timeline/,https://youtube.com/watch?v=MXpj1vweBpA,421
13,Mid-Season Invitational 2019,2019-05-14,DAY5,1,IG,SKT,https://gol.gg/game/stats/17274/page-timeline/,https://youtube.com/watch?v=__9q24NWKvo,196
14,Mid-Season Invitational 2019,2019-05-14,DAY5,1,PVB,FW,https://gol.gg/game/stats/17273/page-timeline/,https://youtube.com/watch?v=PcRpmOZMyQ8,269
15,Mid-Season Invitational 2019,2019-05-14,DAY5,1,G2 Esports,Team Liquid,https://gol.gg/game/stats/17272/page-timeline/,https://youtube.com/watch?v=gjTZTyTHMKc,238
16,Mid-Season Invitational 2019,2019-05-14,DAY5,1,FW,IG,https://gol.gg/game/stats/17271/page-timeline/,https://youtube.com/watch?v=pJ6cC2BzG48,372
17,Mid-Season Invitational 2019,2019-05-14,DAY5,1,PVB,G2 Esports,https://gol.gg/game/stats/17270/page-timeline/,https://youtube.com/watch?v=q0G2vS7dQFY,334
18,Mid-Season Invitational 2019,2019-05-14,DAY5,1,Team Liquid,SKT,https://gol.gg/game/stats/17269/page-timeline/,https://youtube.com/watch?v=NhUoGaU97v8,372
19,Mid-Season Invitational 2019,2019-05-13,DAY4,1,SKT,PVB,https://gol.gg/game/stats/17268/page-timeline/,https://youtube.com/watch?v=s2qHRe7xuO8,58
20,Mid-Season Invitational 2019,2019-05-13,DAY4,1,Team Liquid,IG,https://gol.gg/game/stats/17267/page-timeline/,https://youtube.com/watch?v=fdTCZtYjiTo,364
21,Mid-Season Invitational 2019,2019-05-13,DAY4,1,SKT,FW,https://gol.gg/game/stats/17266/page-timeline/,https://youtube.com/watch?v=od7BAA7N32s,289
22,Mid-Season Invitational 2019,2019-05-13,DAY4,1,IG,G2 Esports,https://gol.gg/game/stats/17265/page-timeline/,https://youtube.com/watch?v=9uujTYtiN0k,393
23,Mid-Season Invitational 2019,2019-05-13,DAY4,1,Team Liquid,PVB,https://gol.gg/game/stats/17264/page-timeline/,https://www.youtube.com/watch?v=A2-1VAma7_g,381
24,Mid-Season Invitational 2019,2019-05-13,DAY4,1,FW,G2 Esports,https://gol.gg/game/stats/17263/page-timeline/,https://youtube.com/watch?v=4_ZzqS7TBM0,353
25,Mid-Season Invitational 2019,2019-05-12,DAY3,1,PVB,IG,https://gol.gg/game/stats/17262/page-timeline/,https://youtube.com/watch?v=GYw-k4f2emk,342
26,Mid-Season Invitational 2019,2019-05-12,DAY3,1,G2 Esports,SKT,https://gol.gg/game/stats/17261/page-timeline/,https://youtube.com/watch?v=u0r38qE7lPU,362
27,Mid-Season Invitational 2019,2019-05-12,DAY3,1,FW,Team Liquid,https://gol.gg/game/stats/17260/page-timeline/,https://youtube.com/watch?v=nJZ6IjP8px0,404
28,Mid-Season Invitational 2019,2019-05-12,DAY3,1,G2 Esports,PVB,https://gol.gg/game/stats/17259/page-timeline/,https://youtube.com/watch?v=ZEqMRhoxiNI,386
29,Mid-Season Invitational 2019,2019-05-12,DAY3,1,IG,FW,https://gol.gg/game/stats/17258/page-timeline/,https://youtube.com/watch?v=NV53jw7etTY,297
30,Mid-Season Invitational 2019,2019-05-12,DAY3,1,SKT,Team Liquid,https://gol.gg/game/stats/17257/page-timeline/,https://youtube.com/watch?v=CCXBDp3xzvQ,361
31,Mid-Season Invitational 2019,2019-05-11,DAY2,1,SKT,IG,https://gol.gg/game/stats/17256/page-timeline/,https://youtube.com/watch?v=pbSK7ob0eIQ,374
32,Mid-Season Invitational 2019,2019-05-11,DAY2,1,G2 Esports,FW,https://gol.gg/game/stats/17255/page-timeline/,https://youtube.com/watch?v=s2mDEgZQJeY,356
33,Mid-Season Invitational 2019,2019-05-11,DAY2,1,PVB,SKT,https://gol.gg/game/stats/17254/page-timeline/,https://youtube.com/watch?v=lqT7gE_Ut7c,369
34,Mid-Season Invitational 2019,2019-05-11,DAY2,1,IG,Team Liquid,https://gol.gg/game/stats/17253/page-timeline/,https://youtube.com/watch?v=OPPiqgEshTw,389
35,Mid-Season Invitational 2019,2019-05-11,DAY2,1,FW,PVB,https://gol.gg/game/stats/17252/page-timeline/,https://youtube.com/watch?v=ZjdDOm0O3eY,347
36,Mid-Season Invitational 2019,2019-05-11,DAY2,1,Team Liquid,G2 Esports,https://gol.gg/game/stats/17251/page-timeline/,https://youtube.com/watch?v=HOk3Ujzw_n4,363
37,Mid-Season Invitational 2019,2019-05-10,DAY1,1,PVB,Team Liquid,https://gol.gg/game/stats/17250/page-timeline/,https://youtube.com/watch?v=yg1mqWCcbAo,353
