match_id,tournament,date,series,game_num,team1,team2,gol_url,youtube_url,offset_seconds
1,Mid-Season Invitational 2019,2019-05-19,FINALS,1,G2 Esports,Team Liquid,https://gol.gg/game/stats/17344/page-timeline/,https://youtube.com/watch?v=UdwiDAkrvFY,0
2,Mid-Season Invitational 2019,2019-05-19,FINALS,2,G2 Esports,Team Liquid,https://gol.gg/game/stats/17345/page-timeline/,https://youtube.com/watch?v=r29HP2QZx1o,0
3,Mid-Season Invitational 2019,2019-05-19,FINALS,3,G2 Esports,Team Liquid,https://gol.gg/game/stats/17346/page-timeline/,https://youtube.com/watch?v=37Y2qHiTzuE,0
4,Mid-Season Invitational 2019,2019-05-18,SF,1,G2 Esports,SKT,https://gol.gg/game/stats/17280/page-timeline/,https://youtube.com/watch?v=8WzilJ_58Js,0
5,Mid-Season Invitational 2019,2019-05-18,SF,2,G2 Esports,SKT,https://gol.gg/game/stats/17281/page-timeline/,https://youtube.com/watch?v=vpWSrD8s0BE,0
6,Mid-Season Invitational 2019,2019-05-18,SF,3,G2 Esports,SKT,https://gol.gg/game/stats/17282/page-timeline/,https://youtube.com/watch?v=kg1ygK-o6qo,0
7,Mid-Season Invitational 2019,2019-05-18,SF,4,G2 Esports,SKT,https://gol.gg/game/stats/17283/page-timeline/,https://youtube.com/watch?v=SxFtQx6wu-Y,0
8,Mid-Season Invitational 2019,2019-05-18,SF,5,G2 Esports,SKT,https://gol.gg/game/stats/17284/page-timeline/,https://youtube.com/watch?v=PRDEvPHluaE,0
9,Mid-Season Invitational 2019,2019-05-17,SF,1,Team Liquid,IG,https://gol.gg/game/stats/17275/page-timeline/,https://youtube.com/watch?v=rYidVg_M4j8,0
10,Mid-Season Invitational 2019,2019-05-17,SF,2,Team Liquid,IG,https://gol.gg/game/stats/17276/page-timeline/,https://youtube.com/watch?v=Iv8LKs2KpIA,0
11,Mid-Season Invitational 2019,2019-05-17,SF,3,Team Liquid,IG,https://gol.gg/game/stats/17277/page-timeline/,https://youtube.com/watch?v=sMfQ7hokuac,0
