match_id,tournament,date,series,game_num,team1,team2,gol_url,youtube_url,offset_seconds
1,MSI Play-In 2019,2019-05-07,KNOCKOUTSTAGE,1,VEG,PVB,https://gol.gg/game/stats/17240/page-timeline/,https://youtube.com/watch?v=uSo2K_z1W88,352
2,MSI Play-In 2019,2019-05-07,KNOCKOUTSTAGE,2,VEG,PVB,https://gol.gg/game/stats/17241/page-timeline/,https://youtube.com/watch?v=w209rytFZjA,372
3,MSI Play-In 2019,2019-05-07,KNOCKOUTSTAGE,3,VEG,PVB,https://gol.gg/game/stats/17242/page-timeline/,https://youtube.com/watch?v=od4EaFs0pSY,297
4,MSI Play-In 2019,2019-05-07,KNOCKOUTSTAGE,4,VEG,PVB,https://gol.gg/game/stats/17243/page-timeline/,https://youtube.com/watch?v=GK_abEbB_0k,306
5,MSI Play-In 2019,2019-05-07,KNOCKOUTSTAGE,5,VEG,PVB,https://gol.gg/game/stats/17244/page-timeline/,https://youtube.com/watch?v=8ko_3g_kTe4,79
6,MSI Play-In 2019,2019-05-06,KNOCKOUTSTAGE,1,VEG,FW,https://gol.gg/game/stats/17236/page-timeline/,https://youtube.com/watch?v=bhEwRqsSfIs,390
7,MSI Play-In 2019,2019-05-06,KNOCKOUTSTAGE,2,VEG,FW,https://gol.gg/game/stats/17237/page-timeline/,https://youtube.com/watch?v=YUDTI0NY1pY,346
8,MSI Play-In 2019,2019-05-06,KNOCKOUTSTAGE,3,VEG,FW,https://gol.gg/game/stats/17238/page-timeline/,https://youtube.com/watch?v=qES_hbJn3_Y,349
9,MSI Play-In 2019,2019-05-06,KNOCKOUTSTAGE,4,VEG,FW,https://gol.gg/game/stats/17239/page-timeline/,https://youtube.com/watch?v=N9cUq3biejo,417
10,MSI Play-In 2019,2019-05-06,KNOCKOUTSTAGE,1,PVB,Team Liquid,https://gol.gg/game/stats/17231/page-timeline/,https://youtube.com/watch?v=1WY0t-TpmQ8,269
11,MSI Play-In 2019,2019-05-06,KNOCKOUTSTAGE,2,PVB,Team Liquid,https://gol.gg/game/stats/17232/page-timeline/,https://youtube.com/watch?v=4Snc8fkFiUs,436
12,MSI Play-In 2019,2019-05-06,KNOCKOUTSTAGE,3,PVB,Team Liquid,https://gol.gg/game/stats/17233/page-timeline/,https://youtube.com/watch?v=TxLBpM4GJGs,331
13,MSI Play-In 2019,2019-05-05,DAY3,1,VEG,MEGA,https://gol.gg/game/stats/17229/page-timeline/,https://youtube.com/watch?v=O1zUq-arxi8,276
14,MSI Play-In 2019,2019-05-05,DAY3,1,DFM,ITZ,https://gol.gg/game/stats/17228/page-timeline/,https://youtube.com/watch?v=LEESlphnHeA,383
15,MSI Play-In 2019,2019-05-05,DAY3,1,VEG,DFM,https://gol.gg/game/stats/17227/page-timeline/,https://youtube.com/watch?v=PaOY1slYGEo,73
16,MSI Play-In 2019,2019-05-05,DAY3,1,MEGA,ITZ,https://gol.gg/game/stats/17226/page-timeline/,https://youtube.com/watch?v=zDnkEE0Istk,309
17,MSI Play-In 2019,2019-05-05,DAY3,1,VEG,ITZ,https://gol.gg/game/stats/17225/page-timeline/,https://youtube.com/watch?v=MBXyZSLHjxI,303
18,MSI Play-In 2019,2019-05-05,DAY3,1,MEGA,DFM,https://gol.gg/game/stats/17224/page-timeline/,https://youtube.com/watch?v=sxbPZ18BWjs,366
19,MSI Play-In 2019,2019-05-05,DAY3,1,MEGA,VEG,https://gol.gg/game/stats/17223/page-timeline/,https://youtube.com/watch?v=DQbEOcbjoIo,310
20,MSI Play-In 2019,2019-05-05,DAY3,1,ITZ,DFM,https://gol.gg/game/stats/17222/page-timeline/,https://youtube.com/watch?v=Br5ezdMkTrs,382
21,MSI Play-In 2019,2019-05-02,TIEBREAKERS,1,FB,PVB,https://gol.gg/game/stats/17230/page-timeline/,https://youtube.com/watch?v=w6kdQ8-nJno,424
22,MSI Play-In 2019,2019-05-02,DAY2,1,ITZ,MEGA,https://gol.gg/game/stats/17221/page-timeline/,https://youtube.com/watch?v=jRq_CC6R_Wk,362
23,MSI Play-In 2019,2019-05-02,DAY2,1,DFM,VEG,https://gol.gg/game/stats/17220/page-timeline/,https://youtube.com/watch?v=ps8CndQFy3o,429
24,MSI Play-In 2019,2019-05-02,DAY2,1,ITZ,VEG,https://gol.gg/game/stats/17219/page-timeline/,https://youtube.com/watch?v=-H97szuSceA,88
25,MSI Play-In 2019,2019-05-02,DAY2,1,DFM,MEGA,https://gol.gg/game/stats/17218/page-timeline/,https://youtube.com/watch?v=RUQtn3jKiJk,361
26,MSI Play-In 2019,2019-05-02,DAY2,1,Bombers,ISG,https://gol.gg/game/stats/17217/page-timeline/,https://youtube.com/watch?v=xlMJY2qf7qw,380
27,MSI Play-In 2019,2019-05-02,DAY2,1,FB,PVB,https://gol.gg/game/stats/17216/page-timeline/,https://youtube.com/watch?v=DygbAiAu27A,52
