match_id,tournament,date,series,game_num,team1,team2,gol_url,youtube_url,offset_seconds
1,NA-EU Rift Rivals 2019,2019-06-29,FINALS,1,Fnatic,TSM,https://gol.gg/game/stats/18421/page-timeline/,https://youtube.com/watch?v=X2D9530xeUA,0
2,NA-EU Rift Rivals 2019,2019-06-29,FINALS,1,Team Liquid,G2 Esports,https://gol.gg/game/stats/18420/page-timeline/,https://youtube.com/watch?v=LBsuK8J5OQc,0
3,NA-EU Rift Rivals 2019,2019-06-29,FINALS,1,Origen,TSM,https://gol.gg/game/stats/18419/page-timeline/,https://youtube.com/watch?v=MAPndsv0z-I,0
4,NA-EU Rift Rivals 2019,2019-06-29,FINALS,1,Cloud9,Fnatic,https://gol.gg/game/stats/18418/page-timeline/,https://youtube.com/watch?v=4tJQTOJ3f0Q,0
5,NA-EU Rift Rivals 2019,2019-06-28,DAY2,1,Fnatic,TSM,https://gol.gg/game/stats/18417/page-timeline/,https://youtube.com/watch?v=1LdiLSujqj0,0
6,NA-EU Rift Rivals 2019,2019-06-28,DAY2,1,Origen,Team Liquid,https://gol.gg/game/stats/18416/page-timeline/,https://youtube.com/watch?v=2DgvpqNduPY,0
7,NA-EU Rift Rivals 2019,2019-06-28,DAY2,1,G2 Esports,TSM,https://gol.gg/game/stats/18415/page-timeline/,https://youtube.com/watch?v=pvW6gjZKXEo,0
8,NA-EU Rift Rivals 2019,2019-06-28,DAY2,1,Origen,Cloud9,https://gol.gg/game/stats/18414/page-timeline/,https://youtube.com/watch?v=onI88x5BGw4,0
9,NA-EU Rift Rivals 2019,2019-06-28,DAY2,1,G2 Esports,Team Liquid,https://gol.gg/game/stats/18413/page-timeline/,https://youtube.com/watch?v=OvJXhWQeHvA,0
10,NA-EU Rift Rivals 2019,2019-06-27,DAY1,1,Fnatic,Cloud9,https://gol.gg/game/stats/18412/page-timeline/,https://youtube.com/watch?v=9pIEBTQ41LM,0
11,NA-EU Rift Rivals 2019,2019-06-27,DAY1,1,Origen,TSM,https://gol.gg/game/stats/18411/page-timeline/,https://youtube.com/watch?v=ax3DFVxaf3g,0
12,NA-EU Rift Rivals 2019,2019-06-27,DAY1,1,Fnatic,Team Liquid,https://gol.gg/game/stats/18410/page-timeline/,https://youtube.com/watch?v=hiajciaoP_U,0
13,NA-EU Rift Rivals 2019,2019-06-27,DAY1,1,G2 Esports,Cloud9,https://gol.gg/game/stats/18409/page-timeline/,https://youtube.com/watch?v=pSqyabxXZ0w,0
