match_id,prompt
1,"Blitzcrank, Braum, Caps, Crisp, Doinb, Elise, Funplus Phoenix, G2 Esports, Gangplank, GimGoon, Gragas, Jankos, Kaisa, Lee Sin, Lwx, Mikyx, Nautilus, Olaf, Pantheon, Perkz, Pyke, Qiyana, RekSai, Ryze, Sivir, Syndra, Tahm Kench, Thresh, Tian, Varus, Wunder, Xayah"
2,"Akali, Caps, Crisp, Doinb, Elise, Funplus Phoenix, G2 Esports, Galio, Gangplank, GimGoon, Gragas, Jankos, Kaisa, Kayle, Kled, Lee Sin, Lwx, Mikyx, Nautilus, Olaf, Pantheon, Perkz, Qiyana, RekSai, Renekton, Ryze, Syndra, Tian, Tristana, Wunder, Xayah, Yasuo"
3,"Akali, Caps, Crisp, Doinb, Ezreal, Funplus Phoenix, G2 Esports, Galio, Gangplank, GimGoon, Gragas, Jankos, Jarvan IV, Kaisa, Lee Sin, Lwx, Mikyx, Nautilus, Olaf, Pantheon, Perkz, Qiyana, Rakan, RekSai, Rumble, Ryze, Syndra, Thresh, Tian, Veigar, Wunder, Xayah"
4,"Akali, Caps, Clid, Effort, Elise, Faker, G2 Esports, Gragas, Jankos, Kaisa, Khan, Kled, Leona, Mikyx, Nautilus, Neeko, Olaf, Ornn, Pantheon, Perkz, Qiyana, Quinn, Rakan, RekSai, Renekton, Ryze, SK Telecom T1, Syndra, Teddy, Tristana, Wunder, Xayah"
5,"Akali, Caps, Clid, Effort, Elise, Ezreal, Faker, G2 Esports, Galio, Gragas, Jankos, Jarvan IV, Kaisa, Kayle, Khan, LeBlanc, Lee Sin, Mikyx, Olaf, Ornn, Pantheon, Perkz, Qiyana, RekSai, Renekton, Ryze, SK Telecom T1, Syndra, Teddy, Wunder, Xayah, Yasuo"
6,"Akali, Camille, Caps, Clid, Effort, Elise, Faker, Fiora, G2 Esports, Jankos, Jax, Kaisa, Kayle, Khan, Kled, Leona, Mikyx, Nautilus, Orianna, Pantheon, Perkz, Qiyana, Rakan, RekSai, Renekton, Ryze, SK Telecom T1, Syndra, Teddy, Wunder, Xayah, Yasuo"
7,"Akali, Caps, Clid, Elise, Faker, G2 Esports, Gragas, Jankos, Jax, Kaisa, Kayle, Khan, LeBlanc, Mata, Mikyx, Nautilus, Olaf, Ornn, Pantheon, Perkz, Qiyana, Renekton, Ryze, SK Telecom T1, Syndra, Teddy, Thresh, Varus, Vladimir, Wunder, Xayah, Yasuo"
8,"Akali, Alistar, Baolan, Braum, Crisp, Doinb, Ezreal, Funplus Phoenix, GimGoon, Gragas, Invictus Gaming, JackeyLove, Kaisa, Kalista, Kayle, Lucian, Lwx, Nautilus, Ning, Pantheon, Qiyana, Quinn, Renekton, RooKie, Rumble, Ryze, Syndra, Tahm Kench, TheShy, Tian, Varus, Xayah"
9,"Akali, Baolan, Blitzcrank, Crisp, Doinb, Funplus Phoenix, GimGoon, Gragas, Invictus Gaming, JackeyLove, Jayce, Kaisa, Kayle, LeBlanc, Lee Sin, Lucian, Lwx, Mordekaiser, Nautilus, Ning, Pantheon, Qiyana, Renekton, RooKie, Rumble, Ryze, Tahm Kench, TheShy, Tian, Varus, Vladimir, Xayah"
10,"Akali, Alistar, Baolan, Crisp, Doinb, Ezreal, Funplus Phoenix, Gangplank, GimGoon, Gragas, Invictus Gaming, JackeyLove, Jayce, Kaisa, Kayle, Leona, Lucian, Lwx, Nautilus, Ning, Pantheon, Qiyana, Rakan, Renekton, RooKie, Rumble, Ryze, TheShy, Thresh, Tian, Vladimir, Xayah"
11,"Akali, Baolan, Crisp, Doinb, Funplus Phoenix, Galio, Gangplank, GimGoon, Gragas, Invictus Gaming, JackeyLove, Kaisa, Kayle, Lee Sin, Leona, Lwx, Nautilus, Ning, Olaf, Pantheon, Qiyana, Rakan, RekSai, Renekton, RooKie, Ryze, Syndra, Tahm Kench, TheShy, Tian, Varus, Xayah"
12,"Akali, BeryL, Camille, Canyon, Caps, DAMWON Gaming, Elise, G2 Esports, Gragas, Jankos, Jayce, Kaisa, Kayle, LeBlanc, Lee Sin, Leona, Mikyx, Nautilus, Nuclear, Nuguri, Pantheon, Perkz, Qiyana, Quinn, Rakan, Renekton, Ryze, ShowMaker, Syndra, Wunder, Xayah, Yasuo"
13,"Akali, Alistar, BeryL, Canyon, Caps, DAMWON Gaming, Elise, G2 Esports, Jankos, Jayce, Kaisa, Kayle, Kennen, Lee Sin, Leona, Mikyx, Nautilus, Nuclear, Nuguri, Orianna, Pantheon, Perkz, Qiyana, Quinn, Renekton, Ryze, ShowMaker, Syndra, Wunder, Xayah, Yasuo, Yuumi"
14,"Akali, BeryL, Canyon, Caps, Corki, DAMWON Gaming, Elise, Ezreal, G2 Esports, Gragas, Jankos, Jayce, Kaisa, Lee Sin, Mikyx, Nautilus, Nuclear, Nuguri, Ornn, Pantheon, Perkz, Qiyana, RekSai, Renekton, Ryze, ShowMaker, Syndra, Wunder, Xayah, Yasuo, Yorick, Yuumi"
15,"Akali, Alistar, BeryL, Canyon, Caps, DAMWON Gaming, Elise, G2 Esports, Gragas, Irelia, Jankos, Kaisa, Kayle, LeBlanc, Leona, Mikyx, Nautilus, Nuclear, Nuguri, Ornn, Pantheon, Perkz, Qiyana, Rakan, Renekton, Ryze, ShowMaker, Syndra, Taliyah, Wunder, Xayah, Yasuo"
16,"Akali, Blitzcrank, Clid, Draven, Effort, Elise, Faker, Gangplank, Gragas, Humanoid, Jayce, Kaisa, Kayle, Khan, Kobbe, LeBlanc, Lissandra, Lucian, Nautilus, Pantheon, Qiyana, Renekton, Ryze, SK Telecom T1, Splyce, Syndra, Teddy, Thresh, Tore, Vizicsacsi, Xayah, Xerxe"
17,"Akali, Camille, Clid, Effort, Elise, Ezreal, Faker, Fiora, Gragas, Humanoid, Kaisa, Khan, Kobbe, LeBlanc, Morgana, Nautilus, Olaf, Pantheon, Poppy, Pyke, Qiyana, Renekton, Ryze, SK Telecom T1, Splyce, Syndra, Teddy, Tore, Tristana, Vizicsacsi, Xayah, Xerxe"
18,"Akali, Azir, Chogath, Clid, Draven, Elise, Faker, Gangplank, Gragas, Humanoid, Kaisa, Khan, Kobbe, Mata, Nautilus, Ornn, Pantheon, Qiyana, RekSai, Renekton, Ryze, SK Telecom T1, Skarner, Splyce, Syndra, Taliyah, Teddy, Thresh, Tore, Vizicsacsi, Xayah, Xerxe"
19,"Akali, Blitzcrank, Clid, Effort, Elise, Ezreal, Faker, Gragas, Humanoid, Kaisa, Khan, Kobbe, Leona, Nautilus, Ornn, Pantheon, Pyke, Qiyana, Quinn, Renekton, Ryze, SK Telecom T1, Splyce, Syndra, Taliyah, Teddy, Thresh, Tore, Varus, Vizicsacsi, Xayah, Xerxe"
20,"Akali, Broxah, Bwipo, Camille, Crisp, Doinb, Elise, Fnatic, Funplus Phoenix, Gangplank, Garen, GimGoon, Gragas, Hylissang, Jarvan IV, Jax, Kled, Lee Sin, Lwx, Nemesis, Olaf, Pantheon, Qiyana, Rakan, Rekkles, Renekton, Rengar, Ryze, Tian, Twisted Fate, Xayah, Yuumi"
21,"Akali, Alistar, Broxah, Bwipo, Crisp, Doinb, Fnatic, Funplus Phoenix, Gangplank, GimGoon, Gnar, Gragas, Hylissang, Kaisa, Kayle, Kled, Lee Sin, Lwx, Nemesis, Pantheon, Pyke, Qiyana, Rakan, Rekkles, Renekton, Ryze, Tahm Kench, Tian, Twisted Fate, Varus, Xayah, Yasuo"
22,"Akali, Alistar, Broxah, Bwipo, Crisp, Doinb, Fnatic, Funplus Phoenix, Gangplank, GimGoon, Gragas, Hylissang, Kaisa, Lee Sin, Lucian, Lwx, Nautilus, Nemesis, Ornn, Pantheon, Pyke, Qiyana, Rakan, RekSai, Rekkles, Renekton, Ryze, Tahm Kench, Tian, Vayne, Veigar, Xayah"
23,"Akali, Broxah, Bwipo, Camille, Cassiopeia, Crisp, Doinb, Fnatic, Funplus Phoenix, Gangplank, GimGoon, Gragas, Hylissang, Jax, Kaisa, Kayle, Kled, Lee Sin, Lwx, Nemesis, Ornn, Pantheon, Pyke, Qiyana, Rekkles, Renekton, Ryze, Tahm Kench, Tian, Varus, Veigar, Xayah"
24,"Akali, Baolan, Chovy, Elise, Garen, Gnar, Gragas, Griffin, Invictus Gaming, JackeyLove, Jayce, Kayle, Kled, KogMaw, LeBlanc, Lehends, Lulu, Ning, Pantheon, Poppy, Qiyana, Renekton, RooKie, Ryze, Sona, Sw0rd, Tarzan, TheShy, Vayne, Viper, Yasuo, Yuumi"
25,"Akali, Baolan, Chovy, Elise, Galio, Gragas, Griffin, Invictus Gaming, JackeyLove, Jarvan IV, Jayce, Kaisa, Kayle, LeBlanc, Lee Sin, Lehends, Nautilus, Ning, Pantheon, Qiyana, Rakan, RekSai, Renekton, RooKie, Ryze, Sw0rd, Syndra, Tarzan, TheShy, Viper, Vladimir, Xayah"
26,"Akali, Baolan, Camille, Chovy, Elise, Fiora, Gragas, Griffin, Invictus Gaming, JackeyLove, Jayce, Kaisa, Kayle, Kled, LeBlanc, Lee Sin, Lehends, Morgana, Ning, Olaf, Pantheon, Qiyana, Rakan, Renekton, RooKie, Sion, Sw0rd, Tarzan, TheShy, Viper, Vladimir, Xayah"
27,"Aatrox, Akali, Baolan, Chovy, Elise, Gragas, Griffin, Invictus Gaming, JackeyLove, Jayce, Kaisa, Karthus, Kayle, LeBlanc, Lehends, Leona, Lucian, Ning, Pantheon, Qiyana, Rakan, Renekton, RooKie, Ryze, Sion, Sw0rd, Syndra, Tarzan, TheShy, Viper, Xayah, Yasuo"
