match_id,prompt
1,"AHaHaCiK, Akali, BOSS, Chogath, Edward, Gangplank, Gnar, Humanoid, Innaxe, Jhin, Jinx, Kaisa, Kayle, KhaZix, Kobbe, LeBlanc, Morgana, Nautilus, Nocturne, Nomanz, Norskeren, Pantheon, Qiyana, Rakan, Splyce, Syndra, Thresh, Tore, Twisted Fate, Unicorns Of Love, Vizicsacsi, Xayah, Xerxe"
2,"AHaHaCiK, Aatrox, Ashe, BOSS, Cassiopeia, Corki, Edward, Gangplank, Heimerdinger, Humanoid, Innaxe, Kaisa, Kayle, Kennen, Kobbe, LeBlanc, Nautilus, Nomanz, Norskeren, Pantheon, Qiyana, Sivir, Skarner, Splyce, Syndra, Thresh, Tore, Twisted Fate, Unicorns Of Love, Veigar, Vizicsacsi, Xayah, Xerxe"
3,"AHaHaCiK, Akali, BOSS, Caitlyn, Camille, Edward, Elise, Gangplank, Gnar, Gragas, Heimerdinger, Humanoid, Innaxe, Karma, Kayle, Kobbe, LeBlanc, Morgana, Nomanz, Norskeren, Olaf, Pantheon, Qiyana, RekSai, Ryze, Splyce, Syndra, Tore, Twisted Fate, Unicorns Of Love, Vizicsacsi, Xayah, Xerxe"
4,"AHaHaCiK, Akali, BOSS, Edward, Fiddlesticks, Gangplank, Gnar, Heimerdinger, Humanoid, Innaxe, Karthus, Kayle, Kennen, Kobbe, LeBlanc, Lissandra, Morgana, Nocturne, Nomanz, Norskeren, Pantheon, Qiyana, Rakan, Renekton, Shen, Splyce, Syndra, Tore, Twisted Fate, Unicorns Of Love, Vizicsacsi, Xayah, Xerxe"
5,"AHaHaCiK, Akali, BOSS, Chogath, Edward, Gangplank, Gnar, Heimerdinger, Humanoid, Innaxe, Kaisa, Karthus, Kayle, Kennen, Kobbe, LeBlanc, Morgana, Nautilus, Nomanz, Norskeren, Orianna, Pantheon, Qiyana, Renekton, Shen, Splyce, Syndra, Tore, Unicorns Of Love, Vizicsacsi, Xayah, Xerxe, Yasuo"
6,"3z, Akali, Buggax, Crash, Gangplank, Gnar, Gragas, Hong Kong Attitude, Irelia, Isurus Gaming, Jarvan IV, Jayce, Kaiwing, Lee Sin, Mission, Oddie, Pantheon, Pyke, Qiyana, RekSai, Renekton, Skarner, Slow, Syndra, Tristana, Twisted Fate, Unified, Vladimir, WARANGELUS, Xayah, Yuumi, seiya"
7,"3z, Akali, Buggax, Corki, Crash, Elise, Ezreal, Galio, Gangplank, Gragas, Hong Kong Attitude, Isurus Gaming, Kaiwing, Kled, Lee Sin, Mission, Oddie, Pantheon, Pyke, Qiyana, Quinn, Rakan, Renekton, Slow, Syndra, Thresh, Tristana, Twisted Fate, Unified, WARANGELUS, Xayah, seiya"
8,"3z, Akali, Buggax, Corki, Crash, Elise, Ezreal, Galio, Gangplank, Gnar, Gragas, Hong Kong Attitude, Irelia, Isurus Gaming, Kaiwing, Lee Sin, Mission, Mordekaiser, Nocturne, Oddie, Pantheon, Pyke, Rakan, RekSai, Slow, Syndra, Thresh, Tristana, Unified, WARANGELUS, Xayah, seiya"
9,"3z, Akali, Buggax, Corki, Crash, Elise, Ezreal, Gangplank, Gragas, Hong Kong Attitude, Isurus Gaming, Jarvan IV, Kaiwing, Lee Sin, Mission, Nautilus, Nocturne, Oddie, Pantheon, Pyke, Qiyana, Rakan, Skarner, Slow, Syndra, Tristana, Unified, Veigar, Vladimir, WARANGELUS, Xayah, seiya"
10,"Armut, Camille, Closer, Clutch Gaming, Cody Sun, Damonte, Draven, Elise, Huni, Irelia, Jinx, Kaisa, Kled, LeBlanc, Lee Sin, Lira, Lissandra, Lucian, Nautilus, Olaf, Pantheon, Pilot, Qiyana, Rakan, Royal Youth, Rumble, Syndra, Thresh, Tolerant, Twisted Fate, Vulcan, cyeol"
11,"Alistar, Armut, Ashe, Closer, Clutch Gaming, Cody Sun, Damonte, Elise, Ezreal, Huni, Irelia, Jarvan IV, Kaisa, Lee Sin, Lira, Lucian, Nautilus, Neeko, Olaf, Pantheon, Pilot, Pyke, Qiyana, Rakan, Renekton, Royal Youth, Rumble, Syndra, Thresh, Tolerant, Vulcan, cyeol"
12,"Armut, Blitzcrank, Camille, Closer, Clutch Gaming, Cody Sun, Damonte, Ezreal, Gangplank, Huni, Irelia, Jarvan IV, Jayce, Kaisa, LeBlanc, Lee Sin, Lira, Lucian, Olaf, Orianna, Pantheon, Pilot, Qiyana, Rakan, RekSai, Royal Youth, Rumble, Syndra, Thresh, Tolerant, Vulcan, cyeol"
13,"Akali, Artifact, BeryL, Caitlyn, Canyon, Celebrity, DAMWON Gaming, DNK, Elise, Garen, Gragas, Hani, LeBlanc, Lee Sin, Lowkey Esports.Vietnam, Nuclear, Nuguri, Olaf, Ornn, Pantheon, Qiyana, Renekton, Shen, ShowMaker, Syndra, Tristana, Twisted Fate, Vayne, Venus, Vladimir, Xayah, Yuumi"
14,"Alistar, Artifact, BeryL, Caitlyn, Canyon, Celebrity, DAMWON Gaming, DNK, Gragas, Hani, Kaisa, Kled, LeBlanc, Lowkey Esports.Vietnam, Lucian, Nuclear, Nuguri, Ornn, Pantheon, Pyke, Qiyana, Renekton, Ryze, ShowMaker, Syndra, Taliyah, Thresh, Tristana, Twisted Fate, Venus, Vladimir, Xayah"
15,"Akali, Alistar, Artifact, BeryL, Canyon, Celebrity, DAMWON Gaming, DNK, Elise, Gnar, Gragas, Hani, Jayce, Kaisa, LeBlanc, Leona, Lowkey Esports.Vietnam, Morgana, Nuclear, Nuguri, Ornn, Pantheon, RekSai, Renekton, ShowMaker, Skarner, Syndra, Taliyah, Tristana, Venus, Xayah, Yasuo"
