match_id,tournament,date,series,game_num,team1,team2,gol_url,youtube_url,offset_seconds
1,Mid-Season Cup 2020,2020-05-31,FINALS,1,Top Esports,FPX,https://gol.gg/game/stats/23922/page-timeline/,,0
2,Mid-Season Cup 2020,2020-05-31,FINALS,2,Top Esports,FPX,https://gol.gg/game/stats/23923/page-timeline/,,0
3,Mid-Season Cup 2020,2020-05-31,FINALS,3,Top Esports,FPX,https://gol.gg/game/stats/23924/page-timeline/,,0
4,Mid-Season Cup 2020,2020-05-31,FINALS,4,Top Esports,FPX,https://gol.gg/game/stats/23925/page-timeline/,,0
5,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,1,GEN,Top Esports,https://gol.gg/game/stats/23919/page-timeline/,,0
6,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,2,GEN,Top Esports,https://gol.gg/game/stats/23920/page-timeline/,,0
7,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,3,GEN,Top Esports,https://gol.gg/game/stats/23921/page-timeline/,,0
8,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,1,FPX,JD Gaming,https://gol.gg/game/stats/23914/page-timeline/,,0
9,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,2,FPX,JD Gaming,https://gol.gg/game/stats/23915/page-timeline/,,0
10,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,3,FPX,JD Gaming,https://gol.gg/game/stats/23916/page-timeline/,,0
11,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,4,FPX,JD Gaming,https://gol.gg/game/stats/23917/page-timeline/,,0
12,Mid-Season Cup 2020,2020-05-29,TIEBREAKERS,1,JD Gaming,DragonX,https://gol.gg/game/stats/23913/page-timeline/,,0
13,Mid-Season Cup 2020,2020-05-29,TIEBREAKERS,1,GEN,DragonX,https://gol.gg/game/stats/23912/page-timeline/,,0
14,Mid-Season Cup 2020,2020-05-29,DAY2,1,JD Gaming,DragonX,https://gol.gg/game/stats/23893/page-timeline/,,0
15,Mid-Season Cup 2020,2020-05-29,DAY2,1,GEN,IG,https://gol.gg/game/stats/23892/page-timeline/,,0
16,Mid-Season Cup 2020,2020-05-29,DAY2,1,IG,JD Gaming,https://gol.gg/game/stats/23891/page-timeline/,,0
17,Mid-Season Cup 2020,2020-05-29,DAY2,1,GEN,DragonX,https://gol.gg/game/stats/23890/page-timeline/,,0
18,Mid-Season Cup 2020,2020-05-29,DAY2,1,IG,DragonX,https://gol.gg/game/stats/23889/page-timeline/,,0
19,Mid-Season Cup 2020,2020-05-29,DAY2,1,GEN,JD Gaming,https://gol.gg/game/stats/23888/page-timeline/,,0
20,Mid-Season Cup 2020,2020-05-28,DAY1,1,Top Esports,T1,https://gol.gg/game/stats/23887/page-timeline/,,0
21,Mid-Season Cup 2020,2020-05-28,DAY1,1,DWG,FPX,https://gol.gg/game/stats/23886/page-timeline/,,0
22,Mid-Season Cup 2020,2020-05-28,DAY1,1,Top Esports,FPX,https://gol.gg/game/stats/23885/page-timeline/,,0
23,Mid-Season Cup 2020,2020-05-28,DAY1,1,DWG,T1,https://gol.gg/game/stats/23884/page-timeline/,,0
24,Mid-Season Cup 2020,2020-05-28,DAY1,1,Top Esports,DWG,https://gol.gg/game/stats/23883/page-timeline/,,0
25,Mid-Season Cup 2020,2020-05-28,DAY1,1,FPX,T1,https://gol.gg/game/stats/23882/page-timeline/,,0
