match_id,tournament,date,series,game_num,team1,team2,gol_url,youtube_url,offset_seconds
1,Mid-Season Cup 2020,2020-05-31,FINALS,1,Top Esports,FPX,https://gol.gg/game/stats/23922/page-timeline/,https://youtube.com/watch?v=LjF_xVQ6rB0,0
2,Mid-Season Cup 2020,2020-05-31,FINALS,2,Top Esports,FPX,https://gol.gg/game/stats/23923/page-timeline/,https://youtube.com/watch?v=OIzaZrOFtes,0
3,Mid-Season Cup 2020,2020-05-31,FINALS,3,Top Esports,FPX,https://gol.gg/game/stats/23924/page-timeline/,https://youtube.com/watch?v=Q5L389P2hn8,0
4,Mid-Season Cup 2020,2020-05-31,FINALS,4,Top Esports,FPX,https://gol.gg/game/stats/23925/page-timeline/,https://youtube.com/watch?v=eCB5Dtg0mz4,0
5,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,1,GEN,Top Esports,https://gol.gg/game/stats/23919/page-timeline/,https://youtube.com/watch?v=ulhKeawsOMs,0
6,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,2,GEN,Top Esports,https://gol.gg/game/stats/23920/page-timeline/,https://youtube.com/watch?v=tLgFfg2kF4E,0
7,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,3,GEN,Top Esports,https://gol.gg/game/stats/23921/page-timeline/,https://youtube.com/watch?v=xeTK2fmTvG8,0
8,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,2,FPX,JD Gaming,https://gol.gg/game/stats/23915/page-timeline/,https://youtube.com/watch?v=E70kBsQjm2M,0
10,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,3,FPX,JD Gaming,https://gol.gg/game/stats/23916/page-timeline/,https://youtube.com/watch?v=qblUyCI2Qro,0
11,Mid-Season Cup 2020,2020-05-30,SEMIFINALS,4,FPX,JD Gaming,https://gol.gg/game/stats/23917/page-timeline/,https://youtube.com/watch?v=KZtiTG5eFy8,0

