match_id,tournament,date,series,game_num,team1,team2,gol_url,youtube_url,offset_seconds
1,World Championship 2020,2020-10-31,FINALS,1,DWG,Suning,https://gol.gg/game/stats/27191/page-timeline/,,0
2,World Championship 2020,2020-10-31,FINALS,2,DWG,Suning,https://gol.gg/game/stats/27192/page-timeline/,,0
3,World Championship 2020,2020-10-31,FINALS,3,DWG,Suning,https://gol.gg/game/stats/27193/page-timeline/,,0
4,World Championship 2020,2020-10-31,FINALS,4,DWG,Suning,https://gol.gg/game/stats/27194/page-timeline/,,0
5,World Championship 2020,2020-10-25,SEMIFINALS,1,Suning,Top Esports,https://gol.gg/game/stats/27130/page-timeline/,,0
6,World Championship 2020,2020-10-25,SEMIFINALS,2,Suning,Top Esports,https://gol.gg/game/stats/27131/page-timeline/,,0
7,World Championship 2020,2020-10-25,SEMIFINALS,3,Suning,Top Esports,https://gol.gg/game/stats/27132/page-timeline/,,0
8,World Championship 2020,2020-10-25,SEMIFINALS,4,Suning,Top Esports,https://gol.gg/game/stats/27133/page-timeline/,,0
9,World Championship 2020,2020-10-24,SEMIFINALS,1,DWG,G2 Esports,https://gol.gg/game/stats/27125/page-timeline/,,0
10,World Championship 2020,2020-10-24,SEMIFINALS,2,DWG,G2 Esports,https://gol.gg/game/stats/27126/page-timeline/,,0
11,World Championship 2020,2020-10-24,SEMIFINALS,3,DWG,G2 Esports,https://gol.gg/game/stats/27127/page-timeline/,,0
12,World Championship 2020,2020-10-24,SEMIFINALS,4,DWG,G2 Esports,https://gol.gg/game/stats/27128/page-timeline/,,0
13,World Championship 2020,2020-10-18,QUARTERFINALS,1,G2 Esports,GEN,https://gol.gg/game/stats/27117/page-timeline/,,0
14,World Championship 2020,2020-10-18,QUARTERFINALS,2,G2 Esports,GEN,https://gol.gg/game/stats/27118/page-timeline/,,0
15,World Championship 2020,2020-10-18,QUARTERFINALS,3,G2 Esports,GEN,https://gol.gg/game/stats/27119/page-timeline/,,0
16,World Championship 2020,2020-10-17,QUARTERFINALS,1,Fnatic,Top Esports,https://gol.gg/game/stats/27107/page-timeline/,,0
17,World Championship 2020,2020-10-17,QUARTERFINALS,2,Fnatic,Top Esports,https://gol.gg/game/stats/27108/page-timeline/,,0
18,World Championship 2020,2020-10-17,QUARTERFINALS,3,Fnatic,Top Esports,https://gol.gg/game/stats/27109/page-timeline/,,0
19,World Championship 2020,2020-10-17,QUARTERFINALS,4,Fnatic,Top Esports,https://gol.gg/game/stats/27110/page-timeline/,,0
20,World Championship 2020,2020-10-17,QUARTERFINALS,5,Fnatic,Top Esports,https://gol.gg/game/stats/27111/page-timeline/,,0
21,World Championship 2020,2020-10-16,QUARTERFINALS,1,JD Gaming,Suning,https://gol.gg/game/stats/27112/page-timeline/,,0
22,World Championship 2020,2020-10-16,QUARTERFINALS,2,JD Gaming,Suning,https://gol.gg/game/stats/27113/page-timeline/,,0
23,World Championship 2020,2020-10-16,QUARTERFINALS,3,JD Gaming,Suning,https://gol.gg/game/stats/27114/page-timeline/,,0
24,World Championship 2020,2020-10-16,QUARTERFINALS,4,JD Gaming,Suning,https://gol.gg/game/stats/27115/page-timeline/,,0
25,World Championship 2020,2020-10-15,QUARTERFINALS,1,DragonX,DWG,https://gol.gg/game/stats/27122/page-timeline/,,0
26,World Championship 2020,2020-10-15,QUARTERFINALS,2,DragonX,DWG,https://gol.gg/game/stats/27123/page-timeline/,,0
27,World Championship 2020,2020-10-15,QUARTERFINALS,3,DragonX,DWG,https://gol.gg/game/stats/27124/page-timeline/,,0
28,World Championship 2020,2020-10-11,DAY8,1,Top Esports,DragonX,https://gol.gg/game/stats/27092/page-timeline/,,0
29,World Championship 2020,2020-10-11,DAY8,1,FlyQuest,UOL,https://gol.gg/game/stats/27091/page-timeline/,,0
30,World Championship 2020,2020-10-11,DAY8,1,FlyQuest,Top Esports,https://gol.gg/game/stats/27090/page-timeline/,,0
31,World Championship 2020,2020-10-11,DAY8,1,UOL,DragonX,https://gol.gg/game/stats/27089/page-timeline/,,0
32,World Championship 2020,2020-10-11,DAY8,1,Top Esports,UOL,https://gol.gg/game/stats/27088/page-timeline/,,0
33,World Championship 2020,2020-10-11,DAY8,1,DragonX,FlyQuest,https://gol.gg/game/stats/27087/page-timeline/,,0
34,World Championship 2020,2020-10-10,DAY7,1,Fnatic,GEN,https://gol.gg/game/stats/27086/page-timeline/,,0
35,World Championship 2020,2020-10-10,DAY7,1,TSM,LGD Gaming,https://gol.gg/game/stats/27085/page-timeline/,,0
36,World Championship 2020,2020-10-10,DAY7,1,LGD Gaming,Fnatic,https://gol.gg/game/stats/27084/page-timeline/,,0
37,World Championship 2020,2020-10-10,DAY7,1,GEN,TSM,https://gol.gg/game/stats/27083/page-timeline/,,0
38,World Championship 2020,2020-10-10,DAY7,1,GEN,LGD Gaming,https://gol.gg/game/stats/27082/page-timeline/,,0
39,World Championship 2020,2020-10-10,DAY7,1,TSM,Fnatic,https://gol.gg/game/stats/27081/page-timeline/,,0
40,World Championship 2020,2020-10-09,DAY6,1,DWG,JD Gaming,https://gol.gg/game/stats/27080/page-timeline/,,0
41,World Championship 2020,2020-10-09,DAY6,1,Rogue,PSG Talon,https://gol.gg/game/stats/27079/page-timeline/,,0
42,World Championship 2020,2020-10-09,DAY6,1,PSG Talon,JD Gaming,https://gol.gg/game/stats/27078/page-timeline/,,0
43,World Championship 2020,2020-10-09,DAY6,1,Rogue,DWG,https://gol.gg/game/stats/27077/page-timeline/,,0
44,World Championship 2020,2020-10-09,DAY6,1,JD Gaming,Rogue,https://gol.gg/game/stats/27076/page-timeline/,,0
45,World Championship 2020,2020-10-09,DAY6,1,DWG,PSG Talon,https://gol.gg/game/stats/27075/page-timeline/,,0
46,World Championship 2020,2020-10-08,TIEBREAKERS,1,Suning,G2 Esports,https://gol.gg/game/stats/27106/page-timeline/,,0
47,World Championship 2020,2020-10-08,DAY5,1,G2 Esports,Suning,https://gol.gg/game/stats/27074/page-timeline/,,0
48,World Championship 2020,2020-10-08,DAY5,1,MCX,Team Liquid,https://gol.gg/game/stats/27073/page-timeline/,,0
49,World Championship 2020,2020-10-08,DAY5,1,Team Liquid,Suning,https://gol.gg/game/stats/27072/page-timeline/,,0
