match_id,tournament,date,series,game_num,team1,team2,gol_url,youtube_url,offset_seconds
1,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,1,SUP,UOL,https://gol.gg/game/stats/27035/page-timeline/,,0
2,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,2,SUP,UOL,https://gol.gg/game/stats/27036/page-timeline/,,0
3,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,3,SUP,UOL,https://gol.gg/game/stats/27037/page-timeline/,,0
4,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,1,LGD Gaming,LGC,https://gol.gg/game/stats/27030/page-timeline/,,0
5,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,2,LGD Gaming,LGC,https://gol.gg/game/stats/27031/page-timeline/,,0
6,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,3,LGD Gaming,LGC,https://gol.gg/game/stats/27032/page-timeline/,,0
7,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,1,MAD Lions,SUP,https://gol.gg/game/stats/27015/page-timeline/,,0
8,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,2,MAD Lions,SUP,https://gol.gg/game/stats/27016/page-timeline/,,0
9,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,3,MAD Lions,SUP,https://gol.gg/game/stats/27017/page-timeline/,,0
10,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,4,MAD Lions,SUP,https://gol.gg/game/stats/27018/page-timeline/,,0
11,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,5,MAD Lions,SUP,https://gol.gg/game/stats/27019/page-timeline/,,0
12,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,1,LGD Gaming,Rainbow7,https://gol.gg/game/stats/27010/page-timeline/,,0
13,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,2,LGD Gaming,Rainbow7,https://gol.gg/game/stats/27011/page-timeline/,,0
14,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,3,LGD Gaming,Rainbow7,https://gol.gg/game/stats/27012/page-timeline/,,0
15,World Championship Play-In 2020,2020-09-28,TIEBREAKERS,1,Team Liquid,LGC,https://gol.gg/game/stats/27009/page-timeline/,,0
16,World Championship Play-In 2020,2020-09-28,TIEBREAKERS,1,MAD Lions,ITZ,https://gol.gg/game/stats/27008/page-timeline/,,0
17,World Championship Play-In 2020,2020-09-28,DAY4,1,SUP,LGC,https://gol.gg/game/stats/26999/page-timeline/,,0
18,World Championship Play-In 2020,2020-09-28,DAY4,1,Team Liquid,ITZ,https://gol.gg/game/stats/26998/page-timeline/,,0
19,World Championship Play-In 2020,2020-09-28,DAY4,1,LGC,MAD Lions,https://gol.gg/game/stats/26997/page-timeline/,,0
20,World Championship Play-In 2020,2020-09-28,DAY4,1,Team Liquid,SUP,https://gol.gg/game/stats/26996/page-timeline/,,0
21,World Championship Play-In 2020,2020-09-27,TIEBREAKERS,1,V3 Esports,LGD Gaming,https://gol.gg/game/stats/27007/page-timeline/,,0
22,World Championship Play-In 2020,2020-09-27,TIEBREAKERS,1,UOL,PSG Talon,https://gol.gg/game/stats/27006/page-timeline/,,0
23,World Championship Play-In 2020,2020-09-27,DAY3,1,LGD Gaming,UOL,https://gol.gg/game/stats/26995/page-timeline/,,0
24,World Championship Play-In 2020,2020-09-27,DAY3,1,V3 Esports,PSG Talon,https://gol.gg/game/stats/26994/page-timeline/,,0
25,World Championship Play-In 2020,2020-09-27,DAY3,1,UOL,Rainbow7,https://gol.gg/game/stats/26993/page-timeline/,,0
26,World Championship Play-In 2020,2020-09-27,DAY3,1,LGD Gaming,V3 Esports,https://gol.gg/game/stats/26992/page-timeline/,,0
27,World Championship Play-In 2020,2020-09-26,DAY2,1,LGC,Team Liquid,https://gol.gg/game/stats/26991/page-timeline/,,0
28,World Championship Play-In 2020,2020-09-26,DAY2,1,MAD Lions,SUP,https://gol.gg/game/stats/26990/page-timeline/,,0
29,World Championship Play-In 2020,2020-09-26,DAY2,1,PSG Talon,UOL,https://gol.gg/game/stats/26989/page-timeline/,,0
30,World Championship Play-In 2020,2020-09-26,DAY2,1,Rainbow7,LGD Gaming,https://gol.gg/game/stats/26988/page-timeline/,,0
31,World Championship Play-In 2020,2020-09-26,DAY2,1,UOL,V3 Esports,https://gol.gg/game/stats/26987/page-timeline/,,0
32,World Championship Play-In 2020,2020-09-26,DAY2,1,SUP,ITZ,https://gol.gg/game/stats/26986/page-timeline/,,0
33,World Championship Play-In 2020,2020-09-26,DAY2,1,V3 Esports,Rainbow7,https://gol.gg/game/stats/26985/page-timeline/,,0
34,World Championship Play-In 2020,2020-09-25,DAY1,1,MAD Lions,Team Liquid,https://gol.gg/game/stats/26979/page-timeline/,,0
35,World Championship Play-In 2020,2020-09-25,DAY1,1,PSG Talon,LGD Gaming,https://gol.gg/game/stats/26978/page-timeline/,,0
36,World Championship Play-In 2020,2020-09-25,DAY1,1,ITZ,LGC,https://gol.gg/game/stats/26977/page-timeline/,,0
37,World Championship Play-In 2020,2020-09-25,DAY1,1,Rainbow7,PSG Talon,https://gol.gg/game/stats/26976/page-timeline/,,0
38,World Championship Play-In 2020,2020-09-25,DAY1,1,ITZ,MAD Lions,https://gol.gg/game/stats/26975/page-timeline/,,0
